trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
226,False,"{'a': 0.35, 'e': 0.22199999999999942}",35,27,14.662520877490508,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.35, 'e': 0.21899999999999942}",25,10,10.935097658735012,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
228,False,"{'a': 0.35, 'e': 0.21599999999999941}",25,8,-19.381384993117166,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
229,False,"{'a': 0.35, 'e': 0.2129999999999994}",25,9,8.375487351219043,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
230,False,"{'a': 0.35, 'e': 0.2099999999999994}",25,12,-23.623644232299082,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
231,False,"{'a': 0.35, 'e': 0.2069999999999994}",20,0,-31.606967636959656,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
232,False,"{'a': 0.35, 'e': 0.2039999999999994}",30,14,27.34985939616122,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.35, 'e': 0.2009999999999994}",25,15,20.07916868041081,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.35, 'e': 0.1979999999999994}",20,14,13.418297692477731,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.35, 'e': 0.1949999999999994}",25,13,-16.988516943818134,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
236,False,"{'a': 0.35, 'e': 0.1919999999999994}",25,14,22.373199782884225,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.35, 'e': 0.1889999999999994}",25,3,-26.566632682501993,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
238,False,"{'a': 0.35, 'e': 0.1859999999999994}",20,14,11.971417684553582,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.35, 'e': 0.18299999999999939}",25,12,4.539220373949146,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.35, 'e': 0.17999999999999938}",30,14,5.946095533628542,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
241,False,"{'a': 0.35, 'e': 0.17699999999999938}",30,14,4.610865336787583,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
242,False,"{'a': 0.35, 'e': 0.17399999999999938}",25,11,21.523774849426072,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.35, 'e': 0.17099999999999937}",20,16,9.242979621574037,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.35, 'e': 0.16799999999999937}",30,17,14.19885582924309,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.35, 'e': 0.16499999999999937}",20,13,0.5832012011589787,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.35, 'e': 0.16199999999999937}",30,17,-16.424587665901758,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
247,False,"{'a': 0.35, 'e': 0.15899999999999936}",20,12,4.772436939292617,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
